UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,XGCSWGS84,YGCSWGS84
2019,1,9,4,3,5,3,0,1,1,0,0,6.957221707000031,50.903689686000064
2019,1,13,4,3,5,3,0,1,0,0,0,7.806285642000034,51.672389010000074
2019,1,7,3,3,5,2,1,1,1,0,0,6.924670512000034,50.93771076300004
2019,1,18,3,1,3,2,2,1,0,0,0,6.990343334000045,50.89151334100006
2019,1,13,1,3,5,2,0,1,1,0,0,6.833265292000021,50.93839314500008
2019,1,11,7,3,5,3,0,1,1,0,0,7.596000364000076,51.94153727500003
2019,1,13,7,3,5,3,0,1,1,0,0,6.849913873000048,50.91893737700008
2019,1,16,6,3,5,2,0,1,1,0,0,7.589579454000045,51.92877709100003
2019,1,7,6,2,5,3,2,1,1,0,0,6.939578149000056,50.90564656500004
2019,1,17,4,3,0,1,1,1,0,0,0,6.955089693000048,51.00906818500005
2019,1,9,7,2,0,1,0,1,0,0,0,6.833492215000035,50.96582285200003
2019,1,8,3,3,5,2,0,1,1,0,0,7.658173013000067,51.97542082900003
2019,1,7,3,3,5,3,0,1,0,0,0,7.634927428000026,51.95975231800003
2019,1,14,3,3,3,2,0,1,1,0,0,7.583664651000049,51.92671222700005
2019,1,13,6,3,5,2,0,1,1,0,0,7.656445164000047,51.95453018100005
2019,1,11,4,3,0,1,0,1,0,0,0,6.951794681000024,50.90392029900005
2019,1,12,3,3,5,2,0,1,1,0,0,7.588850119000028,51.96527482100004
2019,1,7,3,2,0,7,2,1,0,0,0,7.661260360000028,51.96779975800007
2019,1,5,3,3,0,7,2,1,0,0,0,7.671451583000021,51.95078325800006
2019,1,1,3,3,0,1,2,1,0,0,0,7.590189830000043,51.97370329300003
2019,1,13,3,3,6,6,0,1,0,1,0,6.971245048000071,50.932241271000066
2019,1,14,3,3,5,5,0,1,1,0,0,6.957102149000036,50.95212830100007
2019,1,18,3,3,1,5,2,1,1,0,0,6.918896958000062,50.948935121000034
2019,1,17,5,3,2,3,2,1,1,0,0,7.588830097000027,51.965276868000046
2019,1,18,2,3,5,3,2,1,1,0,0,7.614645972000062,52.00269225000005
2019,1,15,2,3,5,2,0,1,1,0,0,7.600271859000031,51.934791853000036
2019,1,18,2,3,5,2,2,1,1,0,0,7.763470310000059,51.66387586900004
2019,1,21,4,2,3,6,2,1,0,0,0,7.645492999000055,51.962857417000066
2019,1,16,4,3,5,3,0,1,0,0,0,7.647030866000023,51.963727953000046
2019,2,9,4,3,0,1,0,1,0,0,0,7.014094787000033,50.952750784000045
2019,2,17,7,3,1,5,1,1,1,0,0,7.625986342000033,51.95407095400003
2019,2,15,3,3,5,2,0,1,1,0,0,7.62355481000003,51.97471980900008
2019,2,13,3,3,1,6,0,1,0,0,0,7.634208004000072,51.95968347300004
2019,2,19,6,3,6,6,2,1,0,1,0,6.913448023000058,50.95231360100007
2019,2,16,6,3,5,3,0,1,1,0,0,7.769096742000045,51.700314666000054
2019,2,18,6,3,5,3,2,1,1,0,0,7.829692690000059,51.697533330000056
2019,2,12,3,3,0,1,0,1,1,0,0,7.863295484000048,51.69112122000007
2019,2,14,7,3,5,2,0,1,1,0,0,7.629250413000023,51.94431215700007
2019,2,17,7,3,0,3,0,1,1,0,0,7.629250641000056,51.94431232900007
2019,2,12,7,3,1,5,0,1,1,0,0,6.921155030000023,50.94797248000003
2019,2,12,7,3,6,6,0,1,0,1,0,6.941786713000056,50.93598147900008
2019,2,6,4,3,4,2,1,1,1,0,0,7.82680182200005,51.67116123400007
2019,2,6,3,3,0,3,1,1,0,0,0,7.049430857000061,50.94284297000007
2019,2,9,6,3,5,3,0,1,1,0,0,7.641634993000025,51.898089104000064
2019,2,8,6,3,1,5,0,1,1,0,0,7.618116543000042,51.97451313000005
2019,2,18,6,3,3,6,2,1,0,0,0,7.007680977000064,50.95998072500004
2019,2,10,6,2,6,4,0,1,0,1,0,6.924197741000057,50.95746100300005
2019,2,18,6,3,6,4,0,1,0,1,0,6.923781550000058,50.946875944000055
2019,2,15,2,3,5,3,0,1,1,0,0,6.972546092000073,50.939619675000074
2019,2,6,5,3,5,3,2,1,1,0,0,7.607919859000049,51.948846493000076
2019,2,13,5,3,5,3,0,1,1,0,0,6.874571752000065,51.00320028300007
2019,2,13,6,3,5,2,0,1,1,0,0,7.100380410000071,50.85889143500003
